vehicle_id,vehicle_type
1148,Schwalbe
913,Schwalbe
791,Torrot
849,Schwalbe
726,Schwalbe
852,Schwalbe
1322,Torrot
576,Schwalbe
906,Torrot
1041,Schwalbe
764,Torrot
709,Schwalbe
1226,Schwalbe
1061,Schwalbe
865,Schwalbe
1288,Schwalbe
1350,Schwalbe
1177,Schwalbe
1217,Torrot
1276,Torrot
1043,Torrot
1107,Schwalbe
730,Torrot
824,Schwalbe
716,Torrot
1286,Schwalbe
860,Schwalbe
1200,Schwalbe
1227,Torrot
1125,Schwalbe
1021,Schwalbe
884,Torrot
1467,Schwalbe
895,Schwalbe
962,Torrot
1278,Schwalbe
1336,Schwalbe
1146,Schwalbe
1290,Schwalbe
445,Schwalbe
750,Torrot
1294,Schwalbe
912,Torrot
717,Torrot
1117,Schwalbe
679,Schwalbe
1208,Schwalbe
1060,Torrot
714,Schwalbe
1243,Torrot
663,Schwalbe
1025,Torrot
993,Schwalbe
669,Schwalbe
74,Torrot
1142,Schwalbe
1080,Torrot
1120,Torrot
793,Schwalbe
742,Schwalbe
787,Schwalbe
1353,Schwalbe
1206,Schwalbe
1027,Schwalbe
1028,Schwalbe
713,Torrot
1188,Schwalbe
1187,Schwalbe
988,Torrot
800,Schwalbe
1003,Schwalbe
859,Schwalbe
1054,Schwalbe
1010,Schwalbe
1122,Schwalbe
869,Schwalbe
1215,Schwalbe
1067,Schwalbe
855,Schwalbe
782,Schwalbe
1077,Torrot
1105,Schwalbe
1369,Schwalbe
1362,Torrot
1091,Torrot
448,Torrot
923,Schwalbe
1297,Schwalbe
517,Torrot
675,Schwalbe
870,Schwalbe
1004,Torrot
866,Schwalbe
1209,Schwalbe
1045,Schwalbe
148,Schwalbe
889,Torrot
820,Schwalbe
1006,Torrot
1079,Schwalbe
894,Schwalbe
1164,Schwalbe
845,Torrot
1284,Schwalbe
1169,Torrot
711,Schwalbe
938,Schwalbe
1210,Torrot
91,Schwalbe
1026,Schwalbe
1295,Schwalbe
1158,Schwalbe
958,Schwalbe
1184,Schwalbe
1086,Schwalbe
831,Schwalbe
1429,Schwalbe
1400,Schwalbe
748,Schwalbe
1581,Schwalbe
765,Torrot
1228,Schwalbe
893,Torrot
846,Schwalbe
744,Schwalbe
1112,Torrot
837,Schwalbe
1199,Schwalbe
970,Torrot
772,Schwalbe
915,Torrot
945,Schwalbe
1216,Schwalbe
1457,Schwalbe
932,Schwalbe
886,Schwalbe
905,Torrot
1220,Schwalbe
977,Torrot
1198,Torrot
959,Schwalbe
599,Schwalbe
841,Torrot
836,Schwalbe
968,Schwalbe
797,Schwalbe
901,Torrot
1285,Schwalbe
973,Schwalbe
981,Schwalbe
872,Schwalbe
763,Torrot
